event_ts,event_id,event_type,account_name,region,kind,severity,text
2025-09-01T13:18:00,EV500001,support_ticket,Ganges Distributors,East,delivery_delay,3,Third late delivery this month against order SO117515. This is becoming a problem.
2025-09-01T16:06:00,EV500002,support_ticket,Vayu Logistics,West,delivery_delay,3,Third late delivery this month against order SO126653. This is becoming a problem.
2025-09-02T10:38:00,EV500003,support_ticket,Meridian Group,North,billing,3,Invoice against SO103703 shows the old rate. Please issue a correction.
2025-09-02T13:16:00,EV500004,support_ticket,Ironwood Ltd,East,delivery_delay,2,Third late delivery this month against order SO176268. This is becoming a problem.
2025-09-03T08:45:00,EV500005,support_ticket,Bluewater Co,South,delivery_delay,3,Consignment SO144593 was promised on 2025-08-27 and has still not arrived at our depot.
2025-09-03T11:00:00,EV500006,crm_note,Meridian Group,North,account_review,2,Reviewed the product roadmap with the account team.
2025-09-03T11:00:00,EV500007,crm_note,Kalpana Traders,North,account_review,2,Reviewed the product roadmap with the account team.
2025-09-03T11:00:00,EV500008,crm_note,Deccan Supply,South,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-09-03T11:00:00,EV500009,crm_note,Bluewater Co,South,account_review,2,Quarterly catch up. No issues raised.
2025-09-03T11:00:00,EV500010,crm_note,Ganges Distributors,East,account_review,2,Reviewed the product roadmap with the account team.
2025-09-03T11:00:00,EV500011,crm_note,Acme Corp,West,account_review,2,Reviewed the product roadmap with the account team.
2025-09-03T11:00:00,EV500012,crm_note,Sterling Industries,West,account_review,2,Quarterly catch up. No issues raised.
2025-09-03T11:00:00,EV500013,crm_note,Orbit Retail,West,account_review,2,Reviewed the product roadmap with the account team.
2025-09-04T15:19:00,EV500014,support_ticket,Acme Corp,West,delivery_delay,2,Consignment SO196459 was promised on 2025-08-30 and has still not arrived at our depot.
2025-09-04T09:04:00,EV500015,support_ticket,Orbit Retail,West,delivery_delay,3,Delivery for SO145148 slipped again. Our production line was held up waiting for it.
2025-09-05T17:29:00,EV500016,support_ticket,Bluewater Co,South,billing,2,Purchase order number missing from the invoice for SO152719.
2025-09-05T13:26:00,EV500017,support_ticket,Orbit Retail,West,quality,2,Two cartons in SO106644 arrived damaged. Requesting replacement.
2025-09-08T14:35:00,EV500018,support_ticket,Sterling Industries,West,delivery_delay,3,We were not notified that SO165997 would be late. Please escalate.
2025-09-10T12:33:00,EV500019,support_ticket,Meridian Group,North,billing,2,Purchase order number missing from the invoice for SO144845.
2025-09-10T15:27:00,EV500020,support_ticket,Meridian Group,North,delivery_delay,1,We were not notified that SO160190 would be late. Please escalate.
2025-09-10T11:00:00,EV500021,crm_note,Meridian Group,North,account_review,2,Quarterly catch up. No issues raised.
2025-09-10T11:00:00,EV500022,crm_note,Bluewater Co,South,account_review,2,Quarterly catch up. No issues raised.
2025-09-10T11:00:00,EV500023,crm_note,Ganges Distributors,East,account_review,2,Quarterly catch up. No issues raised.
2025-09-10T11:00:00,EV500024,crm_note,Acme Corp,West,account_review,2,Reviewed the product roadmap with the account team.
2025-09-12T09:47:00,EV500025,support_ticket,Kalpana Traders,North,billing,2,Purchase order number missing from the invoice for SO170218.
2025-09-12T09:21:00,EV500026,support_ticket,Bluewater Co,South,quality,3,Two cartons in SO190942 arrived damaged. Requesting replacement.
2025-09-13T09:40:00,EV500027,support_ticket,Meridian Group,North,delivery_delay,3,We were not notified that SO181701 would be late. Please escalate.
2025-09-13T17:00:00,EV500028,support_ticket,Ganges Distributors,East,billing,1,Invoice against SO117644 shows the old rate. Please issue a correction.
2025-09-13T13:17:00,EV500029,support_ticket,Sterling Industries,West,delivery_delay,1,Consignment SO139775 was promised on 2025-09-06 and has still not arrived at our depot.
2025-09-14T15:51:00,EV500030,support_ticket,Kalpana Traders,North,delivery_delay,3,Consignment SO195001 was promised on 2025-09-07 and has still not arrived at our depot.
2025-09-14T11:29:00,EV500031,support_ticket,Bluewater Co,South,billing,3,Invoice against SO190808 shows the old rate. Please issue a correction.
2025-09-16T11:27:00,EV500032,support_ticket,Meridian Group,North,delivery_delay,3,Third late delivery this month against order SO131005. This is becoming a problem.
2025-09-17T10:14:00,EV500033,support_ticket,Bluewater Co,South,quality,2,Packaging on SO141694 was torn on arrival.
2025-09-17T11:00:00,EV500034,crm_note,Deccan Supply,South,account_review,2,Quarterly catch up. No issues raised.
2025-09-17T11:00:00,EV500035,crm_note,Bluewater Co,South,account_review,2,Quarterly catch up. No issues raised.
2025-09-17T11:00:00,EV500036,crm_note,Sterling Industries,West,account_review,2,Reviewed the product roadmap with the account team.
2025-09-17T11:00:00,EV500037,crm_note,Orbit Retail,West,account_review,2,Reviewed the product roadmap with the account team.
2025-09-18T17:20:00,EV500038,support_ticket,Meridian Group,North,billing,2,Purchase order number missing from the invoice for SO103602.
2025-09-19T10:45:00,EV500039,support_ticket,Deccan Supply,South,delivery_delay,1,Third late delivery this month against order SO149826. This is becoming a problem.
2025-09-21T11:18:00,EV500040,support_ticket,Meridian Group,North,quality,3,Packaging on SO130254 was torn on arrival.
2025-09-21T15:41:00,EV500041,support_ticket,Ganges Distributors,East,quality,2,Packaging on SO195243 was torn on arrival.
2025-09-21T09:43:00,EV500042,support_ticket,Sterling Industries,West,billing,2,Invoice against SO154583 shows the old rate. Please issue a correction.
